threat-crank.py 0.2.1
I: searching for regions that match .* ukrain.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v13.1/enterprise-attack/enterprise-attack.json
Gamaredon Group;execution
execution;T1559.001
Gamaredon Group;discovery
discovery;T1057
Silence;command-and-control
command-and-control;T1571
Gamaredon Group;execution
execution;T1047
Ember Bear;defense-evasion
defense-evasion;T1218.002
Gamaredon Group;defense-evasion
defense-evasion;T1564.003
Silence;defense-evasion
defense-evasion;T1553.002
Silence;defense-evasion
defense-evasion;T1078
Silence;persistence
persistence;T1078
Silence;privilege-escalation
privilege-escalation;T1078
Silence;initial-access
initial-access;T1078
Gamaredon Group;resource-development
resource-development;T1583.001
Gamaredon Group;command-and-control
command-and-control;T1071.001
Gamaredon Group;defense-evasion
defense-evasion;T1218.011
Ember Bear;defense-evasion
defense-evasion;T1027.002
Gamaredon Group;persistence
persistence;T1547.001
Gamaredon Group;privilege-escalation
privilege-escalation;T1547.001
Ember Bear;execution
execution;T1059.001
Gamaredon Group;discovery
discovery;T1033
Gamaredon Group;defense-evasion
defense-evasion;T1218.005
Gamaredon Group;execution
execution;T1059.003
Ember Bear;execution
execution;T1204.001
Silence;defense-evasion
defense-evasion;T1070.004
Silence;initial-access
initial-access;T1566.001
Silence;execution
execution;T1204.002
Gamaredon Group;discovery
discovery;T1083
Silence;defense-evasion
defense-evasion;T1027.010
Gamaredon Group;execution
execution;T1059.001
Silence;defense-evasion
defense-evasion;T1112
Gamaredon Group;impact
impact;T1485
Ember Bear;command-and-control
command-and-control;T1102
Gamaredon Group;discovery
discovery;T1082
Silence;execution
execution;T1569.002
Gamaredon Group;collection
collection;T1039
Gamaredon Group;resource-development
resource-development;T1608.001
Gamaredon Group;discovery
discovery;T1120
Ember Bear;execution
execution;T1203
Ember Bear;resource-development
resource-development;T1588.003
Gamaredon Group;command-and-control
command-and-control;T1105
Ember Bear;command-and-control
command-and-control;T1105
Silence;execution
execution;T1059.003
Ember Bear;defense-evasion
defense-evasion;T1027.001
Gamaredon Group;exfiltration
exfiltration;T1020
Gamaredon Group;defense-evasion
defense-evasion;T1070.004
Gamaredon Group;collection
collection;T1025
Silence;command-and-control
command-and-control;T1090.002
Gamaredon Group;exfiltration
exfiltration;T1041
Gamaredon Group;execution
execution;T1059.005
Silence;collection
collection;T1113
Silence;execution
execution;T1053.005
Silence;persistence
persistence;T1053.005
Silence;privilege-escalation
privilege-escalation;T1053.005
Silence;defense-evasion
defense-evasion;T1036.005
Gamaredon Group;defense-evasion
defense-evasion;T1140
Silence;defense-evasion
defense-evasion;T1218.001
Gamaredon Group;defense-evasion
defense-evasion;T1112
Silence;collection
collection;T1125
Gamaredon Group;execution
execution;T1106
Silence;lateral-movement
lateral-movement;T1021.001
Gamaredon Group;defense-evasion
defense-evasion;T1027.001
Ember Bear;resource-development
resource-development;T1588.002
Gamaredon Group;collection
collection;T1005
Gamaredon Group;initial-access
initial-access;T1566.001
Silence;execution
execution;T1072
Silence;lateral-movement
lateral-movement;T1072
Gamaredon Group;defense-evasion
defense-evasion;T1562.001
Silence;execution
execution;T1106
Silence;execution
execution;T1059.005
Ember Bear;defense-evasion
defense-evasion;T1027.010
Silence;resource-development
resource-development;T1588.002
Silence;credential-access
credential-access;T1003.001
Ember Bear;defense-evasion
defense-evasion;T1562.001
Gamaredon Group;defense-evasion
defense-evasion;T1036.005
Ember Bear;defense-evasion
defense-evasion;T1112
Silence;defense-evasion
defense-evasion;T1055
Silence;privilege-escalation
privilege-escalation;T1055
Gamaredon Group;lateral-movement
lateral-movement;T1021.005
Ember Bear;execution
execution;T1204.002
Ember Bear;execution
execution;T1059.007
Ember Bear;initial-access
initial-access;T1566.002
Gamaredon Group;collection
collection;T1119
Gamaredon Group;impact
impact;T1491.001
Silence;persistence
persistence;T1547.001
Silence;privilege-escalation
privilege-escalation;T1547.001
Gamaredon Group;lateral-movement
lateral-movement;T1080
Ember Bear;defense-evasion
defense-evasion;T1027
Silence;execution
execution;T1059.001
Ember Bear;defense-evasion
defense-evasion;T1553.002
Gamaredon Group;defense-evasion
defense-evasion;T1027
Gamaredon Group;defense-evasion
defense-evasion;T1027.010
Gamaredon Group;execution
execution;T1204.002
Silence;execution
execution;T1059.007
Ember Bear;execution
execution;T1059.003
Gamaredon Group;execution
execution;T1053.005
Gamaredon Group;persistence
persistence;T1053.005
Gamaredon Group;privilege-escalation
privilege-escalation;T1053.005
Gamaredon Group;lateral-movement
lateral-movement;T1534
Silence;discovery
discovery;T1018
Gamaredon Group;discovery
discovery;T1016.001
Ember Bear;initial-access
initial-access;T1566.001
Gamaredon Group;command-and-control
command-and-control;T1568
Gamaredon Group;persistence
persistence;T1137
Gamaredon Group;command-and-control
command-and-control;T1102
Gamaredon Group;defense-evasion
defense-evasion;T1027.004
Gamaredon Group;defense-evasion
defense-evasion;T1221
Silence;command-and-control
command-and-control;T1105
Gamaredon Group;collection
collection;T1113
