threat-crank.py 0.2.1
I: searching for regions that match .* russia.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v12.0/ics-attack/ics-attack.json
Dragonfly 2.0;evasion-ics
evasion-ics;T0872
Sandworm Team;command-and-control-ics
command-and-control-ics;T0884
Dragonfly;initial-access-ics
initial-access-ics;T0817
TEMP.Veles;persistence-ics
persistence-ics;T0859
TEMP.Veles;lateral-movement-ics
lateral-movement-ics;T0859
Sandworm Team;persistence-ics
persistence-ics;T0857
Sandworm Team;inhibit-response-function
inhibit-response-function;T0857
Dragonfly 2.0;initial-access-ics
initial-access-ics;T0865
Sandworm Team;evasion-ics
evasion-ics;T0849
Dragonfly 2.0;initial-access-ics
initial-access-ics;T0862
Sandworm Team;initial-access-ics
initial-access-ics;T0819
Sandworm Team;inhibit-response-function
inhibit-response-function;T0804
Sandworm Team;initial-access-ics
initial-access-ics;T0886
Sandworm Team;lateral-movement-ics
lateral-movement-ics;T0886
Sandworm Team;inhibit-response-function
inhibit-response-function;T0816
Dragonfly 2.0;collection-ics
collection-ics;T0852
Sandworm Team;initial-access-ics
initial-access-ics;T0822
Sandworm Team;impair-process-control
impair-process-control;T0855
Dragonfly 2.0;command-and-control-ics
command-and-control-ics;T0885
ALLANITE;persistence-ics
persistence-ics;T0859
ALLANITE;lateral-movement-ics
lateral-movement-ics;T0859
ALLANITE;initial-access-ics
initial-access-ics;T0817
ALLANITE;collection-ics
collection-ics;T0852
Sandworm Team;lateral-movement-ics
lateral-movement-ics;T0867
Sandworm Team;initial-access-ics
initial-access-ics;T0865
Sandworm Team;inhibit-response-function
inhibit-response-function;T0803
Dragonfly 2.0;collection-ics
collection-ics;T0811
Dragonfly 2.0;persistence-ics
persistence-ics;T0859
Dragonfly 2.0;lateral-movement-ics
lateral-movement-ics;T0859
Sandworm Team;execution-ics
execution-ics;T0807
Dragonfly 2.0;execution-ics
execution-ics;T0853
TEMP.Veles;initial-access-ics
initial-access-ics;T0817
Dragonfly 2.0;initial-access-ics
initial-access-ics;T0817
Dragonfly 2.0;impact-ics
impact-ics;T0882
TEMP.Veles;initial-access-ics
initial-access-ics;T0886
TEMP.Veles;lateral-movement-ics
lateral-movement-ics;T0886
Sandworm Team;execution-ics
execution-ics;T0853
ALLANITE;initial-access-ics
initial-access-ics;T0865
Sandworm Team;persistence-ics
persistence-ics;T0859
Sandworm Team;lateral-movement-ics
lateral-movement-ics;T0859
TEMP.Veles;initial-access-ics
initial-access-ics;T0862
Sandworm Team;execution-ics
execution-ics;T0823
Dragonfly;initial-access-ics
initial-access-ics;T0862
