threat-crank.py 0.2.1
I: searching for industries that match .* food.*|.* meal.*|.* restaurant.*|.* hospitality.*|.* catering.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v2.0/enterprise-attack/enterprise-attack.json
FIN5;defense-evasion
defense-evasion;T1078
FIN5;persistence
persistence;T1078
FIN5;privilege-escalation
privilege-escalation;T1078
FIN5;initial-access
initial-access;T1078
FIN5;discovery
discovery;T1018
FIN5;defense-evasion
defense-evasion;T1064
FIN5;execution
execution;T1064
FIN5;collection
collection;T1119
FIN5;collection
collection;T1074
FIN5;persistence
persistence;T1133
FIN5;defense-evasion
defense-evasion;T1108
FIN5;persistence
persistence;T1108
FIN5;defense-evasion
defense-evasion;T1107
FIN5;credential-access
credential-access;T1003
FIN5;defense-evasion
defense-evasion;T1070
FIN6;defense-evasion
defense-evasion;T1064
FIN6;execution
execution;T1064
FIN6;execution
execution;T1086
FIN6;persistence
persistence;T1060
FIN6;execution
execution;T1053
FIN6;persistence
persistence;T1053
FIN6;privilege-escalation
privilege-escalation;T1053
FIN6;credential-access
credential-access;T1003
FIN6;privilege-escalation
privilege-escalation;T1068
FIN6;discovery
discovery;T1087
FIN6;discovery
discovery;T1046
FIN6;discovery
discovery;T1018
FIN6;defense-evasion
defense-evasion;T1078
FIN6;persistence
persistence;T1078
FIN6;privilege-escalation
privilege-escalation;T1078
FIN6;initial-access
initial-access;T1078
FIN6;lateral-movement
lateral-movement;T1076
FIN6;command-and-control
command-and-control;T1032
FIN6;command-and-control
command-and-control;T1071
FIN6;collection
collection;T1074
FIN6;exfiltration
exfiltration;T1022
FIN6;collection
collection;T1119
FIN6;exfiltration
exfiltration;T1002
FIN7;execution
execution;T1086
FIN7;command-and-control
command-and-control;T1105
FIN7;lateral-movement
lateral-movement;T1105
FIN7;execution
execution;T1053
FIN7;persistence
persistence;T1053
FIN7;privilege-escalation
privilege-escalation;T1053
FIN7;persistence
persistence;T1060
FIN7;defense-evasion
defense-evasion;T1036
FIN7;persistence
persistence;T1138
FIN7;privilege-escalation
privilege-escalation;T1138
FIN7;execution
execution;T1173
FIN7;defense-evasion
defense-evasion;T1170
FIN7;execution
execution;T1170
FIN7;defense-evasion
defense-evasion;T1027
FIN8;defense-evasion
defense-evasion;T1027
FIN8;initial-access
initial-access;T1193
FIN8;initial-access
initial-access;T1192
FIN8;execution
execution;T1086
FIN8;execution
execution;T1047
FIN8;privilege-escalation
privilege-escalation;T1068
FIN8;execution
execution;T1059
FIN8;command-and-control
command-and-control;T1105
FIN8;lateral-movement
lateral-movement;T1105
FIN8;credential-access
credential-access;T1003
FIN8;defense-evasion
defense-evasion;T1078
FIN8;persistence
persistence;T1078
FIN8;privilege-escalation
privilege-escalation;T1078
FIN8;initial-access
initial-access;T1078
FIN8;discovery
discovery;T1018
FIN8;lateral-movement
lateral-movement;T1077
FIN8;lateral-movement
lateral-movement;T1076
FIN8;command-and-control
command-and-control;T1032
FIN8;command-and-control
command-and-control;T1043
FIN8;execution
execution;T1053
FIN8;persistence
persistence;T1053
FIN8;privilege-escalation
privilege-escalation;T1053
FIN8;collection
collection;T1074
FIN8;exfiltration
exfiltration;T1002
FIN8;exfiltration
exfiltration;T1048
FIN8;defense-evasion
defense-evasion;T1064
FIN8;execution
execution;T1064
FIN8;defense-evasion
defense-evasion;T1107
FIN8;defense-evasion
defense-evasion;T1070
FIN8;defense-evasion
defense-evasion;T1112
FIN8;discovery
discovery;T1063
FIN8;execution
execution;T1204
