threat-crank.py 0.2.1
I: searching for industries that match .* energy.*|.* gas.*|.* petrol.*|.* oil.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v11.2/ics-attack/ics-attack.json
HEXANE;execution-ics
OilRig;initial-access-ics
HEXANE;command-and-control-ics
OilRig;persistence-ics
persistence-ics;T0859
OilRig;lateral-movement-ics
lateral-movement-ics;T0859
OilRig;initial-access-ics
APT33;collection-ics
HEXANE;initial-access-ics
OilRig;command-and-control-ics
HEXANE;persistence-ics
persistence-ics;T0859
HEXANE;lateral-movement-ics
lateral-movement-ics;T0859
APT33;initial-access-ics
OilRig;execution-ics
APT33;execution-ics
