threat-crank.py 0.2.1
I: searching for industries that match .* energy.*|.* gas.*|.* petrol.*|.* oil.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v12.1/ics-attack/ics-attack.json
OilRig;initial-access-ics
initial-access-ics;T0865
OilRig;command-and-control-ics
command-and-control-ics;T0869
OilRig;persistence-ics
persistence-ics;T0859
OilRig;lateral-movement-ics
lateral-movement-ics;T0859
APT33;execution-ics
execution-ics;T0853
OilRig;execution-ics
execution-ics;T0853
APT33;initial-access-ics
initial-access-ics;T0865
OilRig;initial-access-ics
initial-access-ics;T0817
APT33;collection-ics
collection-ics;T0852
