threat-crank.py 0.2.1
I: searching for regions that match .* german.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v11.1/enterprise-attack/enterprise-attack.json
Operation Wocao;lateral-movement
lateral-movement;T1021.002
lateral-movement;CAPEC-561
Operation Wocao;credential-access
credential-access;T1111
Operation Wocao;execution
execution;T1059.006
Operation Wocao;discovery
discovery;T1012
discovery;CAPEC-647
Operation Wocao;credential-access
credential-access;T1555.005
Operation Wocao;discovery
discovery;T1057
discovery;CAPEC-573
Operation Wocao;discovery
discovery;T1083
discovery;CAPEC-127
discovery;CAPEC-497
TA551;command-and-control
command-and-control;T1071.001
Operation Wocao;command-and-control
command-and-control;T1001
Operation Wocao;execution
execution;T1047
TA551;defense-evasion
defense-evasion;T1027.003
defense-evasion;CAPEC-636
Operation Wocao;execution
execution;T1569.002
Operation Wocao;discovery
discovery;T1007
discovery;CAPEC-574
Operation Wocao;discovery
discovery;T1120
discovery;CAPEC-646
Operation Wocao;initial-access
initial-access;T1190
Operation Wocao;collection
collection;T1074.001
TA551;defense-evasion
defense-evasion;T1036
defense-evasion;CAPEC-177
TA551;initial-access
initial-access;T1566.001
initial-access;CAPEC-163
Operation Wocao;execution
execution;T1059.005
Operation Wocao;discovery
discovery;T1082
discovery;CAPEC-312
Operation Wocao;execution
execution;T1059.001
Operation Wocao;defense-evasion
defense-evasion;T1027.005
Operation Wocao;discovery
discovery;T1135
discovery;CAPEC-643
Operation Wocao;defense-evasion
defense-evasion;T1070.001
TA551;command-and-control
command-and-control;T1132.001
Operation Wocao;discovery
discovery;T1016
discovery;CAPEC-309
Operation Wocao;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
Operation Wocao;execution
execution;T1059.003
Operation Wocao;collection
collection;T1056.001
collection;CAPEC-568
Operation Wocao;credential-access
credential-access;T1056.001
credential-access;CAPEC-568
Operation Wocao;command-and-control
command-and-control;T1090.003
CopyKittens;defense-evasion
defense-evasion;T1564.003
Operation Wocao;collection
collection;T1119
Operation Wocao;command-and-control
command-and-control;T1573.002
CopyKittens;collection
collection;T1560.001
Operation Wocao;persistence
persistence;T1133
persistence;CAPEC-555
Operation Wocao;initial-access
initial-access;T1133
initial-access;CAPEC-555
TA551;reconnaissance
reconnaissance;T1589.002
Operation Wocao;collection
collection;T1560.001
Operation Wocao;credential-access
credential-access;T1552.004
Operation Wocao;discovery
discovery;T1518
discovery;CAPEC-580
CopyKittens;execution
execution;T1059.001
Operation Wocao;execution
execution;T1106
Operation Wocao;lateral-movement
lateral-movement;T1570
Operation Wocao;defense-evasion
defense-evasion;T1070.004
TA551;defense-evasion
defense-evasion;T1218.005
Operation Wocao;credential-access
credential-access;T1558.003
credential-access;CAPEC-509
Operation Wocao;discovery
discovery;T1124
discovery;CAPEC-295
Operation Wocao;discovery
discovery;T1018
discovery;CAPEC-292
Operation Wocao;defense-evasion
defense-evasion;T1055
defense-evasion;CAPEC-640
Operation Wocao;privilege-escalation
privilege-escalation;T1055
privilege-escalation;CAPEC-640
TA551;command-and-control
command-and-control;T1105
Operation Wocao;exfiltration
exfiltration;T1041
Operation Wocao;discovery
discovery;T1033
discovery;CAPEC-577
Operation Wocao;credential-access
credential-access;T1003.001
TA551;execution
execution;T1059.003
CopyKittens;collection
collection;T1560.003
Operation Wocao;discovery
discovery;T1069.001
Operation Wocao;defense-evasion
defense-evasion;T1078.002
defense-evasion;CAPEC-560
Operation Wocao;persistence
persistence;T1078.002
persistence;CAPEC-560
Operation Wocao;privilege-escalation
privilege-escalation;T1078.002
privilege-escalation;CAPEC-560
Operation Wocao;initial-access
initial-access;T1078.002
initial-access;CAPEC-560
Operation Wocao;command-and-control
command-and-control;T1095
Operation Wocao;defense-evasion
defense-evasion;T1112
defense-evasion;CAPEC-203
TA551;defense-evasion
defense-evasion;T1218.011
Operation Wocao;collection
collection;T1005
Operation Wocao;command-and-control
command-and-control;T1090
Operation Wocao;discovery
discovery;T1046
discovery;CAPEC-300
TA551;defense-evasion
defense-evasion;T1218.010
TA551;command-and-control
command-and-control;T1568.002
Operation Wocao;defense-evasion
defense-evasion;T1078
defense-evasion;CAPEC-560
Operation Wocao;persistence
persistence;T1078
persistence;CAPEC-560
Operation Wocao;privilege-escalation
privilege-escalation;T1078
privilege-escalation;CAPEC-560
Operation Wocao;initial-access
initial-access;T1078
initial-access;CAPEC-560
Operation Wocao;execution
execution;T1053.005
Operation Wocao;persistence
persistence;T1053.005
Operation Wocao;privilege-escalation
privilege-escalation;T1053.005
Operation Wocao;discovery
discovery;T1049
CopyKittens;defense-evasion
defense-evasion;T1553.002
TA551;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
Operation Wocao;command-and-control
command-and-control;T1105
TA551;execution
execution;T1204.002
Operation Wocao;collection
collection;T1115
collection;CAPEC-637
Operation Wocao;discovery
discovery;T1518.001
discovery;CAPEC-581
Operation Wocao;discovery
discovery;T1087.002
discovery;CAPEC-575
CopyKittens;resource-development
resource-development;T1588.002
CopyKittens;defense-evasion
defense-evasion;T1218.011
Operation Wocao;defense-evasion
defense-evasion;T1078.003
Operation Wocao;persistence
persistence;T1078.003
Operation Wocao;privilege-escalation
privilege-escalation;T1078.003
Operation Wocao;initial-access
initial-access;T1078.003
Operation Wocao;command-and-control
command-and-control;T1090.001
Operation Wocao;defense-evasion
defense-evasion;T1562.004
Operation Wocao;persistence
persistence;T1505.003
persistence;CAPEC-650
Operation Wocao;credential-access
credential-access;T1003.006
