threat-crank.py 0.2.1
I: searching for regions that match .* australia.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v13.1/enterprise-attack/enterprise-attack.json
Earth Lusca;resource-development
resource-development;T1583.001
Fox Kitten;collection
collection;T1039
Fox Kitten;resource-development
resource-development;T1585.001
Earth Lusca;initial-access
initial-access;T1190
Earth Lusca;execution
execution;T1059.006
GALLIUM;execution
execution;T1047
Earth Lusca;lateral-movement
lateral-movement;T1210
Fox Kitten;discovery
discovery;T1012
Earth Lusca;persistence
persistence;T1543.003
Earth Lusca;privilege-escalation
privilege-escalation;T1543.003
Earth Lusca;defense-evasion
defense-evasion;T1027.003
Earth Lusca;execution
execution;T1059.007
Earth Lusca;credential-access
credential-access;T1003.006
Fox Kitten;discovery
discovery;T1217
Earth Lusca;discovery
discovery;T1016
Aoqin Dragon;defense-evasion
defense-evasion;T1027.002
GALLIUM;defense-evasion
defense-evasion;T1036.003
Earth Lusca;initial-access
initial-access;T1189
Fox Kitten;defense-evasion
defense-evasion;T1036.004
GALLIUM;discovery
discovery;T1018
GALLIUM;persistence
persistence;T1574.002
GALLIUM;privilege-escalation
privilege-escalation;T1574.002
GALLIUM;defense-evasion
defense-evasion;T1574.002
GALLIUM;discovery
discovery;T1016
Fox Kitten;execution
execution;T1059.001
GALLIUM;defense-evasion
defense-evasion;T1027.002
Aoqin Dragon;execution
execution;T1204.002
GALLIUM;exfiltration
exfiltration;T1041
GALLIUM;collection
collection;T1560.001
Fox Kitten;discovery
discovery;T1018
Fox Kitten;discovery
discovery;T1046
Aoqin Dragon;discovery
discovery;T1083
Earth Lusca;defense-evasion
defense-evasion;T1027
Fox Kitten;execution
execution;T1053.005
Fox Kitten;persistence
persistence;T1053.005
Fox Kitten;privilege-escalation
privilege-escalation;T1053.005
Earth Lusca;defense-evasion
defense-evasion;T1140
Earth Lusca;persistence
persistence;T1574.002
Earth Lusca;privilege-escalation
privilege-escalation;T1574.002
Earth Lusca;defense-evasion
defense-evasion;T1574.002
Earth Lusca;execution
execution;T1204.002
Earth Lusca;credential-access
credential-access;T1003.001
Earth Lusca;resource-development
resource-development;T1583.004
Aoqin Dragon;lateral-movement
lateral-movement;T1091
Aoqin Dragon;initial-access
initial-access;T1091
GALLIUM;command-and-control
command-and-control;T1090.002
Fox Kitten;collection
collection;T1530
Fox Kitten;resource-development
resource-development;T1585
GALLIUM;discovery
discovery;T1049
Fox Kitten;credential-access
credential-access;T1003.003
Fox Kitten;defense-evasion
defense-evasion;T1027
GALLIUM;execution
execution;T1059.003
Earth Lusca;resource-development
resource-development;T1608.001
GALLIUM;discovery
discovery;T1033
Earth Lusca;defense-evasion
defense-evasion;T1218.005
Fox Kitten;lateral-movement
lateral-movement;T1021.002
Fox Kitten;command-and-control
command-and-control;T1102
Earth Lusca;discovery
discovery;T1007
Earth Lusca;execution
execution;T1204.001
Earth Lusca;discovery
discovery;T1057
Earth Lusca;resource-development
resource-development;T1588.002
Aoqin Dragon;resource-development
resource-development;T1587.001
GALLIUM;execution
execution;T1053.005
GALLIUM;persistence
persistence;T1053.005
GALLIUM;privilege-escalation
privilege-escalation;T1053.005
Fox Kitten;discovery
discovery;T1083
Fox Kitten;persistence
persistence;T1505.003
Earth Lusca;discovery
discovery;T1018
GALLIUM;persistence
persistence;T1505.003
Earth Lusca;initial-access
initial-access;T1566.002
GALLIUM;lateral-movement
lateral-movement;T1570
Fox Kitten;credential-access
credential-access;T1003.001
GALLIUM;defense-evasion
defense-evasion;T1553.002
Fox Kitten;credential-access
credential-access;T1552.001
Earth Lusca;resource-development
resource-development;T1584.004
Fox Kitten;initial-access
initial-access;T1190
Aoqin Dragon;lateral-movement
lateral-movement;T1570
Earth Lusca;execution
execution;T1059.001
Fox Kitten;defense-evasion
defense-evasion;T1036.005
Earth Lusca;discovery
discovery;T1049
Fox Kitten;command-and-control
command-and-control;T1105
Fox Kitten;defense-evasion
defense-evasion;T1027.010
Earth Lusca;execution
execution;T1053
Earth Lusca;persistence
persistence;T1053
Earth Lusca;privilege-escalation
privilege-escalation;T1053
Earth Lusca;execution
execution;T1059.005
GALLIUM;execution
execution;T1059.001
Earth Lusca;defense-evasion
defense-evasion;T1036.005
Fox Kitten;lateral-movement
lateral-movement;T1021.004
Fox Kitten;credential-access
credential-access;T1110
GALLIUM;defense-evasion
defense-evasion;T1027.005
GALLIUM;resource-development
resource-development;T1583.004
Fox Kitten;execution
execution;T1059.003
Fox Kitten;lateral-movement
lateral-movement;T1021.001
GALLIUM;resource-development
resource-development;T1588.002
Fox Kitten;defense-evasion
defense-evasion;T1078
Fox Kitten;persistence
persistence;T1078
Fox Kitten;privilege-escalation
privilege-escalation;T1078
Fox Kitten;initial-access
initial-access;T1078
Earth Lusca;exfiltration
exfiltration;T1567.002
Earth Lusca;privilege-escalation
privilege-escalation;T1548.002
Earth Lusca;defense-evasion
defense-evasion;T1548.002
Fox Kitten;credential-access
credential-access;T1555.005
GALLIUM;defense-evasion
defense-evasion;T1078
GALLIUM;persistence
persistence;T1078
GALLIUM;privilege-escalation
privilege-escalation;T1078
GALLIUM;initial-access
initial-access;T1078
GALLIUM;command-and-control
command-and-control;T1105
Fox Kitten;discovery
discovery;T1087.001
GALLIUM;collection
collection;T1074.001
Earth Lusca;persistence
persistence;T1547.012
Earth Lusca;privilege-escalation
privilege-escalation;T1547.012
Earth Lusca;command-and-control
command-and-control;T1090
Earth Lusca;reconnaissance
reconnaissance;T1595.002
GALLIUM;credential-access
credential-access;T1003.001
GALLIUM;persistence
persistence;T1136.002
Earth Lusca;execution
execution;T1047
Fox Kitten;collection
collection;T1213
Fox Kitten;execution
execution;T1059
Aoqin Dragon;defense-evasion
defense-evasion;T1036.005
GALLIUM;persistence
persistence;T1133
GALLIUM;initial-access
initial-access;T1133
Fox Kitten;collection
collection;T1560.001
Aoqin Dragon;resource-development
resource-development;T1588.002
Earth Lusca;persistence
persistence;T1098.004
Fox Kitten;command-and-control
command-and-control;T1090
Fox Kitten;collection
collection;T1005
Earth Lusca;collection
collection;T1560.001
Aoqin Dragon;execution
execution;T1203
Fox Kitten;command-and-control
command-and-control;T1572
Earth Lusca;resource-development
resource-development;T1588.001
GALLIUM;defense-evasion
defense-evasion;T1550.002
GALLIUM;lateral-movement
lateral-movement;T1550.002
GALLIUM;collection
collection;T1005
Earth Lusca;discovery
discovery;T1033
GALLIUM;initial-access
initial-access;T1190
Fox Kitten;lateral-movement
lateral-movement;T1210
Fox Kitten;persistence
persistence;T1136.001
Earth Lusca;defense-evasion
defense-evasion;T1112
Fox Kitten;discovery
discovery;T1087.002
GALLIUM;defense-evasion
defense-evasion;T1027
Fox Kitten;privilege-escalation
privilege-escalation;T1546.008
Fox Kitten;persistence
persistence;T1546.008
Fox Kitten;lateral-movement
lateral-movement;T1021.005
Earth Lusca;discovery
discovery;T1482
Earth Lusca;resource-development
resource-development;T1584.006
GALLIUM;credential-access
credential-access;T1003.002
Earth Lusca;resource-development
resource-development;T1583.006
